id,redHSV,yellowHSV,greenHSV,cyanHSV,blueHSV,magentaHSV,redMean,greenMean,blueMean,redStdDev,greenStdDev,blueStdDev,skySegmentationPercent,pavementSegmentationPercent,waterSegmentationPercent,vegetationSegmentationPercent,buildingSegmentationPercent,otherSegmentationPercent,concreteSurface,grassSurface,asphaltSurface,woodSurface,brickSurface,gravelSurface,tilesSurface,rubber,buildingShade,treeShade,shadeProvision,restSpotOutdoorFurniture,waterFeature,thermalRatio
19,0.07462336,0.462503376,0.250524691,0.209582851,0.00243586,0.000329861,105.8312915,112.3217781,87.65687162,74.82166915,71.7742689,72.86230152,0.0,9.108796296,0.0,54.40470679,36.1373939,0.349103009,False,False,False,False,True,False,True,False,True,False,True,False,False,19.1
20,0.01108941,0.360911941,0.238738908,0.211662326,0.177467207,0.000130208,104.6997613,125.1430165,120.8147835,66.21737723,66.62316027,86.96988492,17.16358025,13.38884066,0.0,50.6594811,17.54755015,1.24054784,False,False,False,False,False,False,True,False,False,True,False,False,False,23.5
21,0.081540799,0.374045139,0.272161458,0.235510706,0.035770158,0.00097174,101.1863455,109.6030093,94.8242853,64.27920259,62.8762575,68.42243604,1.202594522,14.87065972,0.0,45.19155093,36.62895448,2.106240355,False,True,False,False,True,False,False,False,True,True,True,False,False,30.3
22,0.064711613,0.560407986,0.206293885,0.116224441,0.05227527,8.68e-05,119.3662645,126.9110503,97.85355179,74.96970518,66.84498994,64.78717767,0.0,19.21219136,0.0,36.15142747,43.72497106,0.911410108,False,True,False,False,True,False,True,False,False,True,False,True,False,48.7
23,0.023682002,0.453127894,0.119954668,0.371024788,0.031491127,0.000719522,118.7154548,123.1574918,110.7934491,71.19292428,68.7208515,71.88445342,0.0,20.48953511,0.0,24.22960069,46.55748457,8.72337963,True,False,True,False,False,False,False,False,True,False,True,False,False,78.1
24,0.001351273,0.241578414,0.291377797,0.243433642,0.222174961,8.39e-05,126.8545472,152.3362331,131.0968408,60.73618442,60.8394962,84.7301255,34.92650463,0.0,0.0,50.41999421,7.604311343,7.049189815,False,True,False,False,False,False,False,False,False,True,False,True,False,4.9
25,0.179952257,0.271942033,0.082833719,0.420535783,0.04074267,0.003993538,143.7637047,137.9560417,131.8397097,57.55168084,57.3268211,62.47711984,50.25622106,20.93094136,0.0,24.04369213,4.157648534,0.611496914,False,True,False,False,False,False,False,True,False,False,False,False,False,37.0
26,0.010296103,0.218718171,0.189499904,0.548561921,0.032657697,0.000266204,125.1379866,134.695653,131.7604389,55.43158118,55.47017085,60.13528245,3.386622299,33.57257909,0.0,11.16931906,46.9369213,4.934558256,False,False,False,False,False,False,True,False,False,False,True,False,False,43.1
27,0.007437307,0.236114969,0.625596547,0.116465085,0.01398341,0.000402681,88.34584828,112.8483058,78.68726514,66.94966903,66.22900008,62.34921398,0.272424769,2.190345293,0.0,94.2780189,3.218846451,0.040364583,False,True,False,False,False,False,True,False,False,True,False,False,False,2.1
28,0.023902392,0.316316551,0.097219329,0.43480517,0.124211034,0.003545525,143.0602667,153.2340302,154.3841479,64.92590326,67.02026532,73.95933179,35.25265239,19.05555556,0.0,11.35710841,34.20775463,0.126929012,False,False,False,True,False,False,True,False,True,False,False,True,False,52.8
29,0.008023245,0.321820023,0.107058256,0.464269387,0.098727334,0.000101755,120.3158492,138.2045428,118.0190427,67.04834233,67.3831208,79.22189228,9.525414738,0.525511188,0.0,39.33048804,50.61472801,0.003858025,False,True,False,False,False,False,False,False,True,False,False,False,False,75.8
30,0.075843461,0.354827353,0.327174479,0.137484568,0.079033083,0.025637056,111.3814063,121.3798013,100.3980073,59.69454468,56.9217526,59.66621086,0.363233025,0.0,14.07296489,63.49647955,22.06732253,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,37.4
31,0.000779803,0.136141975,0.166263503,0.375823206,0.320429205,0.000562307,118.5087095,144.5335383,144.5978385,63.58069476,60.01674318,79.32367373,46.96720679,0.472704475,0.0,52.20143711,0.245322145,0.113329475,False,True,False,False,False,False,False,False,False,False,False,False,False,4.1
32,0.020371335,0.303937596,0.126032986,0.311065297,0.23833044,0.000262346,118.7405956,133.3023765,125.9770264,65.58476439,65.37170431,76.36076368,35.57339892,14.13917824,0.0,34.33830054,15.73331404,0.215808256,True,True,False,False,True,False,False,False,True,True,True,True,False,40.0
33,0.086047454,0.322573302,0.069498939,0.162471547,0.359154128,0.00025463,118.1594136,131.4188045,123.3376698,57.72966765,49.23475125,75.37605567,46.61149691,4.193142361,0.0,42.39940201,4.842978395,1.952980324,False,True,False,False,False,False,False,True,False,False,False,False,False,48.9
34,0.005648148,0.357624904,0.184312307,0.293195409,0.159025849,0.000193383,109.8373717,123.0982031,120.8405859,68.59182044,65.90077105,77.55489927,15.00260417,19.05324074,0.0,32.68041088,24.23635224,9.027391975,True,False,True,False,False,False,False,False,False,False,False,False,False,48.5
35,0.006839796,0.324387539,0.180147569,0.32901765,0.158693576,0.00091387,100.3896822,116.3611381,108.8355729,68.31838456,64.33902012,72.02055846,11.36603009,13.34712577,0.0,34.87147955,40.09042245,0.32494213,False,True,False,False,False,False,True,False,True,False,True,False,False,93.4
36,0.020339024,0.434632041,0.287335552,0.225267168,0.025267168,0.007159047,117.8063315,130.7378072,98.91953125,73.93334059,69.99390373,72.92402273,6.944540895,6.755979938,0.0,76.87543403,6.528018904,2.896026235,False,False,True,False,False,False,False,False,False,False,False,False,False,89.8
37,0.068736015,0.36876061,0.08317853,0.381214796,0.097111304,0.000998746,113.1380512,115.6435417,108.7492236,62.60434838,56.45029747,53.69842037,2.125192901,24.53915895,0.0,31.20683835,36.17192323,5.956886574,False,False,True,False,False,False,True,False,True,False,True,True,False,37.9
38,0.054449267,0.278899981,0.270712288,0.317115644,0.078460166,0.000362654,103.8083787,118.3264178,104.6118846,60.8403171,61.94737036,74.4722744,5.820698302,28.0036169,0.0,63.49474344,0.830536265,1.850405093,False,False,True,False,True,False,False,False,False,False,False,False,False,65.0
39,0.01460407,0.591716339,0.20140191,0.134099151,0.056071566,0.002106964,119.3153294,128.5389318,103.7005146,59.70087615,58.71179861,60.08465877,0.025414738,23.94063465,0.0,30.83376736,44.33907215,0.861111111,True,True,False,False,False,False,False,False,False,False,True,False,False,13.0
40,0.158289931,0.427249228,0.162061632,0.224902103,0.02604022,0.001456887,120.2369599,123.9917622,107.1922029,72.80588312,63.31202742,65.50536249,0.826099537,12.40297068,0.0,40.69126157,45.94671103,0.132957176,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0
